Epoch 793, loss: 2.369
Epoch 794, loss: 2.829
Epoch 795, loss: 2.571
Epoch 796, loss: 2.033
Epoch 797, loss: 1.965
Epoch 798, loss: 2.217
Epoch 799, loss: 2.372
Epoch 800, loss: 1.934
Epoch 801, loss: 2.079
Epoch 802, loss: 2.784
Epoch 803, loss: 2.613
Epoch 804, loss: 2.002
Epoch 805, loss: 3.521
Epoch 806, loss: 5.001
Epoch 807, loss: 6.469
Epoch 808, loss: 6.146
Epoch 809, loss: 2.334
Epoch 810, loss: 1.954
Epoch 811, loss: 1.730
Epoch 812, loss: 2.024
Epoch 813, loss: 1.902
Epoch 814, loss: 2.044
Epoch 815, loss: 1.799
Epoch 816, loss: 1.636
Epoch 817, loss: 1.689
Epoch 818, loss: 1.804
Epoch 819, loss: 2.418
Epoch 820, loss: 1.996
Epoch 821, loss: 1.725
Epoch 822, loss: 2.760
Epoch 823, loss: 1.784
Epoch 824, loss: 2.942
Epoch 825, loss: 2.714
Epoch 826, loss: 2.781
Epoch 827, loss: 2.874
Epoch 828, loss: 2.661
Epoch 829, loss: 2.170
Epoch 830, loss: 1.847
Epoch 831, loss: 2.276
Epoch 832, loss: 1.577
Epoch 833, loss: 1.638
Epoch 834, loss: 1.651
Epoch 835, loss: 1.966
Epoch 836, loss: 2.386
Epoch 837, loss: 1.855
Epoch 838, loss: 1.856
Epoch 839, loss: 1.804
Epoch 840, loss: 2.181
Epoch 841, loss: 1.878
Epoch 842, loss: 2.363
Epoch 843, loss: 2.417
Epoch 844, loss: 1.671
Epoch 845, loss: 2.236
Epoch 846, loss: 4.433
Epoch 847, loss: 2.004
Epoch 848, loss: 1.961
Epoch 849, loss: 2.240
Epoch 850, loss: 2.862
Epoch 851, loss: 2.629
Epoch 852, loss: 2.011
Epoch 853, loss: 3.120
Epoch 854, loss: 4.000
Epoch 855, loss: 2.884
Epoch 856, loss: 2.480
Epoch 857, loss: 1.791
Epoch 858, loss: 2.332
Epoch 859, loss: 2.793
Epoch 860, loss: 1.966
Epoch 861, loss: 1.795
Epoch 862, loss: 2.096
Epoch 863, loss: 1.836
Epoch 864, loss: 2.906
Epoch 865, loss: 3.125
Epoch 866, loss: 3.298
Epoch 867, loss: 3.359
Epoch 868, loss: 2.045
Epoch 869, loss: 2.118
Epoch 870, loss: 2.229
Epoch 871, loss: 2.634
Epoch 872, loss: 1.707
Epoch 873, loss: 1.922
Epoch 874, loss: 1.485
Epoch 875, loss: 1.897
Epoch 876, loss: 2.559
Epoch 877, loss: 2.925
Epoch 878, loss: 2.693
Epoch 879, loss: 2.334
Epoch 880, loss: 2.686
Epoch 881, loss: 2.376
Epoch 882, loss: 2.052
Epoch 883, loss: 1.692
Epoch 884, loss: 2.275
Epoch 885, loss: 1.936
Epoch 886, loss: 2.350
Epoch 887, loss: 1.771
Epoch 888, loss: 1.963
Epoch 889, loss: 2.066
Epoch 890, loss: 2.161
Epoch 891, loss: 1.799
Epoch 892, loss: 1.878
Epoch 893, loss: 2.637
Epoch 894, loss: 1.568
Epoch 895, loss: 1.973
Epoch 896, loss: 1.929
Epoch 897, loss: 2.477
Epoch 898, loss: 2.276
Epoch 899, loss: 2.075
Epoch 900, loss: 2.652
Epoch 901, loss: 2.482
Epoch 902, loss: 2.104
Epoch 903, loss: 2.503
Epoch 904, loss: 3.241
Epoch 905, loss: 2.647
Epoch 906, loss: 1.691
Epoch 907, loss: 2.237
Epoch 908, loss: 2.066
Epoch 909, loss: 2.145
Epoch 910, loss: 1.508
Epoch 911, loss: 2.502
Epoch 912, loss: 3.159
Epoch 913, loss: 1.887
Epoch 914, loss: 3.251
Epoch 915, loss: 3.207
Epoch 916, loss: 1.733
Epoch 917, loss: 1.399
Epoch 918, loss: 1.557
Epoch 919, loss: 1.837
Epoch 920, loss: 2.084
Epoch 921, loss: 1.642
Epoch 922, loss: 1.633
Epoch 923, loss: 2.583
Epoch 924, loss: 2.105
Epoch 925, loss: 1.521
Epoch 926, loss: 1.836
Epoch 927, loss: 1.980
Epoch 928, loss: 3.302
Epoch 929, loss: 3.476
Epoch 930, loss: 2.216
Epoch 931, loss: 1.655
Epoch 932, loss: 1.817
